User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Member_since,Number_of_Comments_in_public_forum,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Risk
10386.0,male,34.6,A,Non_Verified,Homosexual,Switch,Men,50,41169,32,0.0,0.0,0.0,No_risk
14.0,male,32.2,J,Non_Verified,Heterosexual,Dominant,Women,518,40118,710,9.0,0.0,0.0,No_risk
16721.0,male,33.6,K,Non_Verified,Heterosexual,Dominant,Women,150,41365,25,1.0,1.0,45.0,No_risk
16957.0,male,34,H,Non_Verified,Heterosexual,Dominant,Women,114,41372,107,1.0,0.0,1.0,No_risk
17125.0,male,39.5,B,Non_Verified,Heterosexual,Dominant,Women,497,41378,600,0.0,6.0,8.0,No_risk
17220.0,female,47.8,A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,127,41383,159,1.0,9.0,0.0,No_risk
1726.0,male,36.7,B,Non_Verified,bicurious,Submisive,Women,18,40467,1,17.0,0.0,0.0,No_risk
1750.0,male,51,L,Non_Verified,Heterosexual,Dominant,Nobody,38,40473,91,0.0,0.0,2.0,No_risk
18162.0,female,29.5,A,Non_Verified,bicurious,Submisive,Nobody_but_maybe,150,41417,278,0.0,3.0,4.0,No_risk
18820.0,male,28,J,Non_Verified,Heterosexual,Switch,Women,-26,41437,4,0.0,0.0,0.0,No_risk
19437.0,male,42.9,A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,15,41462,0,0.0,0.0,0.0,No_risk
19732.0,female,45.4,A,Non_Verified,Heterosexual,Submisive,Nobody,36,41472,47,0.0,11.0,0.0,No_risk
19781.0,male,36.1,F,Non_Verified,Heterosexual,Switch,Women,30,41474,0,0.0,0.0,0.0,No_risk
19805.0,male,42,H,Verified,Heterosexual,Dominant,Nobody_but_maybe,313,41475,51,0.0,5.0,0.0,No_risk
19990.0,male,36.8,E,Non_Verified,Heterosexual,Submisive,Women,0,41483,0,0.0,0.0,0.0,No_risk
20926.0,male,30.9,A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,15,41519,0,0.0,0.0,0.0,No_risk
21471.0,male,33.9,B,Verified,Heterosexual,Dominant,Women,155,41543,59,1.0,0.0,0.0,No_risk
22458.0,female,48.6,L,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,236,41583,501,0.0,0.0,25.0,No_risk
24160.0,male,56.2,K,Non_Verified,Heterosexual,Submisive,Women,60,41649,68,2.0,0.0,0.0,No_risk
25379.0,male,35.3,A,Non_Verified,Heterosexual,Submisive,Women,18,41702,3,1.0,0.0,0.0,No_risk
27804.0,female,23.8,B,Non_Verified,bisexual,Submisive,Nobody,29,41814,247,0.0,0.0,5.0,No_risk
27813.0,male,35.3,A,Non_Verified,Heterosexual,Submisive,Nobody,0,41814,0,0.0,0.0,0.0,No_risk
3030.0,male,36.7,A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,564,40708,845,0.0,0.0,0.0,No_risk
31596.0,male,39.3,K,Verified,Heterosexual,Dominant,Nobody_but_maybe,296,41972,355,0.0,0.0,0.0,No_risk
31627.0,male,47.3,L,Non_Verified,Heterosexual,Dominant,Women,66,41973,166,0.0,0.0,0.0,No_risk
31698.0,female,29.7,A,Verified,bicurious,Submisive,Nobody,404,41976,332,0.0,3.0,11.0,No_risk
3377.0,male,50.8,F,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,20,40771,42,1.0,0.0,0.0,No_risk
34759.0,male,26.8,C,Non_Verified,Heterosexual,Dominant,Women,0,42114,0,0.0,0.0,0.0,No_risk
34980.0,female,31.3,A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,0,42128,0,0.0,0.0,0.0,No_risk
35266.0,male,39.2,M,Non_Verified,Heterosexual,Switch,Women,0,42144,0,0.0,0.0,0.0,No_risk
37385.0,male,35.6,C,Verified,Heterosexual,Switch,Women,195,42256,168,2.0,4.0,3.0,No_risk
37521.0,male,62,O,Non_Verified,Heterosexual,Switch,Women,56,42264,43,0.0,2.0,0.0,No_risk
3987.0,male,28.1,L,Verified,Heterosexual,Switch,Women,226,40864,73,0.0,0.0,2.0,No_risk
40412.0,male,24.6,E,Non_Verified,Heterosexual,Submisive,Nobody,0,42427,0,0.0,0.0,0.0,No_risk
42646.0,male,22.1,E,Verified,Heterosexual,Switch,Women,90,42553,2,0.0,0.0,1.0,No_risk
43605.0,female,24.9,H,Non_Verified,bisexual,Switch,Men_and_Women,78,42605,62,0.0,0.0,10.0,No_risk
43656.0,male,54.3,L,Non_Verified,bisexual,Dominant,Women,32,42608,4,0.0,0.0,6.0,No_risk
44151.0,male,29.9,G,Non_Verified,Heterosexual,Switch,,58,42632,36,2.0,0.0,3.0,No_risk
45230.0,male,24.5,E,Non_Verified,Heterosexual,Switch,Women,15,42687,0,1.0,0.0,0.0,No_risk
45884.0,female,26.4,J,Non_Verified,bisexual,Submisive,Nobody,83,42724,66,0.0,0.0,7.0,No_risk
46195.0,female,28.6,B,Verified,Heterosexual,Submisive,Nobody_but_maybe,124,42740,57,0.0,0.0,1.0,No_risk
46629.0,male,24.6,E,Non_Verified,Heterosexual,Dominant,Nobody,0,42760,0,0.0,0.0,0.0,No_risk
46681.0,male,42.6,E,Non_Verified,Heterosexual,Switch,Women,0,42763,0,0.0,0.0,0.0,No_risk
46911.0,female,20.7,B,Non_Verified,Heterosexual,Submisive,Nobody,29,42775,17,0.0,0.0,1.0,No_risk
47601.0,male,40.4,L,Non_Verified,Heterosexual,Switch,Women,32,42809,47,0.0,0.0,0.0,No_risk
47917.0,male,35.5,B,Non_Verified,Heterosexual,Dominant,Women,0,42823,0,0.0,0.0,0.0,No_risk
48294.0,male,24,A,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,10,42840,8,0.0,0.0,2.0,No_risk
6035.0,male,52.3,A,Non_Verified,Heterosexual,Submisive,Women,114,41092,120,1.0,0.0,0.0,No_risk
6065.0,male,47.2,F,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,93,41092,78,0.0,0.0,16.0,No_risk
6163.0,male,31.4,C,Non_Verified,Heterosexual,Dominant,Nobody,19,41093,7,0.0,0.0,0.0,No_risk
6418.0,male,41,F,Non_Verified,Heterosexual,Submisive,Women,0,41095,34,2.0,0.0,0.0,No_risk
6732.0,male,36,S,Non_Verified,bicurious,Submisive,Men_and_Women,3,41099,4,3.0,0.0,0.0,No_risk
83.0,male,28.7,B,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,51,40126,96,0.0,0.0,0.0,No_risk
8696.0,male,41.7,A,Verified,Heterosexual,Dominant,Women,451,41129,771,0.0,0.0,33.0,No_risk
881.0,male,40.8,K,Non_Verified,Heterosexual,Switch,Women,0,40300,0,0.0,0.0,2.0,No_risk
9479.0,male,31.8,A,Non_Verified,Homosexual,Switch,Men,268,41146,92,0.0,0.0,33.0,No_risk
