MasterID,AccountID,Account,Email domain,Acronym,[Bonus] Confidence score
,322111,3F - UNITED FEDERATION OF DANISH WORKERS,@3f.dk,,
,411480,3F - UNITED FEDERATION OF WORKERS IN DENMARK,@3f.dk,,
,493788,"A.I.S.E. - EUROPEAN FEDERATION FOR SOAPS, DETERGENTS AND HOUSEHOLD MAINTENANCE PRODUCTS",@aise.eu,,
,511603,"A.I.S.E. - EUROPEAN FEDERATION FOR SOAPS, DETERGENTS AND MAINTENANCE PRODUCTS",@aise.eu,,
,71936,AGORIA - BELGIAN FEDERATION FOR THE TECHNOLOGY INDUSTRY,,AGORIA,
,437789,AGRICULTURAL FEDERATION OF THE AZORES,@faa.pt,,
,491453,AGRICULTURAL INDUSTRIES CONFEDERATION LTD,@agindustries.org.uk,AIC,
,82089,AMBASSADE DE LA FEDERATION DE RUSSIE AU ROYAUME DE BELGIQUE,@slynet.be,,
,222947,AMERICAN FEDERATION OF TEACHERS,,,
,67108,AMERICAN HUNGARIAN FEDERATION,@americanhungarianfederation.org,,
,336783,ANIE FEDERATION,@anie.it,,
,367289,ARCHERY FEDERATION,,,
,483680,AUSTRIAN FEDERATION OF SOCIAL INSURANCES,@sozialversicherung.at,,
,77199,AVIATION ENVIRONMENT FEDERATION,@aef.org.uk,AEF,
,380297,BANKING & PAYMENTS FEDERATION IRELAND - BRUSSELS,@bpfi.ie,BPFI,
,374301,BANKING AND PAYMENTS FEDERATION OF IRELAND,@bpfi.ie,BPFI,
,406603,BDI - FEDERATION OF GERMAN INDUSTRIES,@bdi.eu,,
,333613,BDI THE FEDERATION OF GERMAN INDUSTRIES,@bdi.eu,,
,316396,BDI/BDA GERMAN BUSINESS FEDERATION,@bdi.eu,,
,317989,BELGIAN CONFEDERATION OF THE DAIRY INDUSTRY,@bcz-cbl.be,BCZ-CBL,
,382867,BELGIAN CONFEDERATION OF THE DAIRY INDUSTRY (BCZ-CBL),@bcz-cbl.be,,
,499288,BELGIAN FEDERATION OF FOOD BANKS,,,
,73325,BELGIAN PETROLEUM FEDERATION,@petrolfed.be,BPF,
