,Code,Country,1950,1960,1970,1980,1990,2000,2005,2010,2015,2016,2017,2018,2019,2020
0,AUS,Australia,...,...,...,...,1853,1852,1808,1778,1751,1739,1738,1733,1722,1683
1,AUT,Austria,...,...,...,...,...,1675,1632,1552,1495,1507,1498,1502,1509,1400
2,BEL,Belgium,...,...,1883,1707,1663,1589,1578,1574,1575,1574,1578,1580,1576,1481
3,BGR,Bulgaria,...,...,...,...,...,1640,1659,1645,1644,1644,1643,1645,1645,1605
4,CAN,Canada,...,...,1925,1827,1797,1787,1745,1715,1712,1706,1695,1708,1690,1644
5,CHL,Chile,...,...,...,...,2422,2263,2157,2070,1994,1978,1963,1956,1930,1825
6,COL,Colombia,...,...,...,...,...,...,...,...,2194,2191,2170,2181,2172,...
7,CRI,Costa Rica,...,...,...,...,2358,2362,2352,2243,2148,2205,2179,2121,2060,1913
8,HRV,Croatia,...,...,...,...,...,1922,1926,1942,1827,1834,1824,1811,1838,1834
9,CYP,Cyprus,...,...,...,...,...,1926,1847,1845,1824,1840,1821,1809,1805,1698
10,CZE,Czechia,...,...,...,...,...,1900,1803,1799,1751,1774,1776,1785,1784,1705
11,DNK,Denmark,...,...,1845,1577,1441,1466,1451,1422,1407,1412,1404,1381,1381,1346
12,EST,Estonia,...,...,...,...,...,1884,1913,1785,1763,1767,1768,1724,1711,1654
13,EU27,EU27,...,...,...,...,...,1678,1652,1632,1607,1608,1599,1598,1593,1513
14,FIN,Finland,...,1967,1918,1732,1671,1650,1613,1585,1555,1555,1549,1546,1539,1531
15,FRA,France,2351,2188,1993,1806,1645,1558,1532,1540,1519,1522,1508,1514,1511,1402
16,DEU,Germany,...,...,...,...,...,1466,1432,1426,1401,1396,1389,1387,1383,1332
17,GRC,Greece,...,...,...,...,1976,1998,2025,1931,1935,1943,1947,1965,1920,1728
18,HUN,Hungary,...,...,...,2348,2082,1932,1834,1766,1746,1760,1747,1730,1722,1660
19,ISL,Iceland,...,...,1954,1688,1665,1696,1637,1528,1511,1520,1507,1496,1480,1435
20,IRL,Ireland,...,...,2335,2123,2081,1933,1883,1721,1771,1763,1775,1782,1771,1746
21,ISR,Israel,...,...,...,...,1904,2033,1966,1957,1895,1922,1918,1910,1898,1783
22,ITA,Italy,...,...,...,...,...,1850,1811,1777,1718,1722,1719,1719,1715,1559
23,JPN,Japan,...,...,2243,2121,2031,1821,1775,1733,1719,1714,1709,1680,1644,1598
24,KOR,"Korea, Republic of",...,...,...,...,...,...,...,2163,2083,2068,2018,1993,1967,1908
25,LVA,Latvia,...,...,...,...,...,1728,1666,1692,1663,1664,1650,1661,1631,1577
26,LTU,Lithuania,...,...,...,...,...,1630,1659,1697,1673,1694,1657,1664,1665,1595
27,LUX,Luxembourg,...,...,...,...,...,1602,1550,1517,1514,1512,1506,1506,1506,1427
28,MLT,Malta,...,...,...,...,...,2246,2167,2136,1955,2038,1955,1981,2023,1827
29,MEX,Mexico,...,...,...,...,...,2174,2105,2150,2140,2146,2149,2149,2139,2124
30,NLD,Netherlands,...,...,1809,1556,1454,1464,1434,1420,1426,1437,1437,1436,1440,1399
31,NZL,New Zealand,...,...,...,...,1809,1836,1815,1755,1753,1754,1756,1759,1783,1739
32,NOR,Norway,...,...,1835,1580,1503,1457,1406,1395,1392,1395,1380,1379,1381,1369
33,OECD,OECD,...,...,1966,1893,1860,1825,1793,1772,1764,1763,1756,1753,1743,1687
34,POL,Poland,...,...,...,...,...,1869,1855,1831,1862,1831,1808,1785,1781,1766
35,PRT,Portugal,...,...,1963,1849,1806,1770,1750,1746,1732,1737,1727,1738,1745,1613
36,ROU,Romania,...,...,...,...,...,1853,1877,1841,1786,1809,1786,1787,1791,1795
37,RUS,Russian Federation,...,...,...,...,...,1982,1989,1976,1978,1974,1979,1970,1965,1874
38,SVK,Slovakia,...,...,...,...,...,1816,1769,1805,1754,1740,1714,1704,1692,1572
39,SVN,Slovenia,...,...,...,...,...,1710,1697,1680,1687,1652,1622,1599,1601,1515
40,ESP,Spain,...,...,...,1936,1763,1753,1724,1706,1694,1702,1692,1699,1688,1577
41,SWE,Sweden,1824,1718,1565,1382,1423,1486,1453,1484,1466,1478,1466,1466,1452,1424
42,CHE,Switzerland,...,...,...,...,...,1713,1690,1611,1577,1577,1559,1551,1549,1495
43,TUR,Turkey,...,...,2086,1957,1866,1937,1936,1877,1811,1789,1775,1745,1732,...
44,GBR,United Kingdom,...,...,1775,1619,1618,1558,1544,1507,1525,1541,1536,1536,1537,1367
45,USA,United States,1968,1952,1907,1816,1833,1832,1794,1772,1783,1778,1778,1782,1777,1767
