LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
"GRC","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",59.319614,
"GRC","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",60.870548,
"GRC","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",62.335983,
"GRC","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",62.153561,
"GRC","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",62.988297,
"FIN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",74.074074,
"FIN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",75.68013,
"FIN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",76.588898,
"FIN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",75.267929,
"FIN","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",76.822716,
"ESP","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",70.187393,
"ESP","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",70.932465,
"ESP","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",71.923203,
"ESP","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",68.895836,
"ESP","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",70.651619,
"LUX","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",74.798195,
"LUX","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",74.543434,
"LUX","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",74.739479,
"LUX","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",74.867989,
"LUX","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",72.289368,
"DNK","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",80.767326,
"DNK","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",81.561127,
"DNK","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",82.051392,
"DNK","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",80.746338,
"DNK","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",81.850777,
"BEL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",73.307259,
"BEL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",74.1306,
"BEL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",74.593086,
"BEL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",73.420418,
"BEL","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",72.769821,
"DEU","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",81.59716,
"DEU","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",82.278389,
"DEU","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",82.785255,
"DEU","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",82.157883,
"DEU","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",81.660042,
"SVK","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",75.367386,
"SVK","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",76.875427,
"SVK","EMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",78.388824,
