LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
"NLD","EMPEDU","TRY","PC_25_64","A","2017",88.830811,
"NLD","EMPEDU","TRY","PC_25_64","A","2018",89.607353,
"NLD","EMPEDU","TRY","PC_25_64","A","2019",89.671005,
"NLD","EMPEDU","TRY","PC_25_64","A","2020",89.500687,
"NLD","EMPEDU","TRY","PC_25_64","A","2021",89.027794,
"DEU","EMPEDU","TRY","PC_25_64","A","2017",88.58493,
"DEU","EMPEDU","TRY","PC_25_64","A","2018",88.895027,
"DEU","EMPEDU","TRY","PC_25_64","A","2019",89.345268,
"DEU","EMPEDU","TRY","PC_25_64","A","2020",88.669289,
"DEU","EMPEDU","TRY","PC_25_64","A","2021",88.338303,
"EST","EMPEDU","TRY","PC_25_64","A","2017",85.679253,
"EST","EMPEDU","TRY","PC_25_64","A","2018",85.069229,
"EST","EMPEDU","TRY","PC_25_64","A","2019",86.615898,
"EST","EMPEDU","TRY","PC_25_64","A","2020",85.228409,
"EST","EMPEDU","TRY","PC_25_64","A","2021",87.260757,
"SVK","EMPEDU","TRY","PC_25_64","A","2017",82.043846,
"SVK","EMPEDU","TRY","PC_25_64","A","2018",82.641022,
"SVK","EMPEDU","TRY","PC_25_64","A","2019",83.84182,
"SVK","EMPEDU","TRY","PC_25_64","A","2020",82.723694,
"SVK","EMPEDU","TRY","PC_25_64","A","2021",87.933441,
"AUT","EMPEDU","TRY","PC_25_64","A","2017",86.44706,
"AUT","EMPEDU","TRY","PC_25_64","A","2018",86.282066,
"AUT","EMPEDU","TRY","PC_25_64","A","2019",86.463249,
"AUT","EMPEDU","TRY","PC_25_64","A","2020",86.016808,
"AUT","EMPEDU","TRY","PC_25_64","A","2021",86.185944,
"SVN","EMPEDU","TRY","PC_25_64","A","2017",86.597931,
"SVN","EMPEDU","TRY","PC_25_64","A","2018",88.878952,
"SVN","EMPEDU","TRY","PC_25_64","A","2019",90.312386,
"SVN","EMPEDU","TRY","PC_25_64","A","2020",90.399612,
"SVN","EMPEDU","TRY","PC_25_64","A","2021",89.71,
"CZE","EMPEDU","TRY","PC_25_64","A","2017",86.036484,
"CZE","EMPEDU","TRY","PC_25_64","A","2018",87.262779,
"CZE","EMPEDU","TRY","PC_25_64","A","2019",86.606911,
