	Ticker	Report Date	Fiscal Year	Revenue	Cost of Revenue	Operating Income (Loss)	Operating Expenses	Depreciation & Amortization	EBITDA	account_number	organization	authority_types	sectors	primary_industry	primary_questionnaire_sector
0	A	2017-10-31	2017	4472000000.0	-2063000000.0	841000000.0	-1568000000.0	212000000.0	1053000000.0	391.0	Agilent Technologies Inc.	 Investor, Supply Chain	 Medical equipment & supplies	Biotech, health care & pharma	General
1	A	2018-10-31	2018	4914000000.0	-2227000000.0	928000000.0	-1759000000.0	210000000.0	1138000000.0	391.0	Agilent Technologies Inc.	 Investor, Supply Chain	 Medical equipment & supplies	Biotech, health care & pharma	General
2	A	2019-10-31	2019	5163000000.0	-2358000000.0	941000000.0	-1864000000.0	238000000.0	1179000000.0	391.0	Agilent Technologies Inc.	 Investor, Supply Chain	 Medical equipment & supplies	Biotech, health care & pharma	General
3	AA	2017-12-31	2017	11652000000.0	-9072000000.0	1514000000.0	-1066000000.0	752000000.0	2266000000.0	511.0	Alcoa Corp.	 Investor, Supply Chain	 Metal smelting, refining & forming, Metallic mineral mining, Thermal power generation	Materials	Metals & mining
4	AA	2018-12-31	2018	13403000000.0	-10081000000.0	2310000000.0	-1012000000.0	733000000.0	3043000000.0	511.0	Alcoa Corp.	 Investor, Supply Chain	 Metal smelting, refining & forming, Metallic mineral mining, Thermal power generation	Materials	Metals & mining
5	AA	2019-12-31	2019	10433000000.0	-8537000000.0	876000000.0	-1020000000.0	713000000.0	1589000000.0	511.0	Alcoa Corp.	 Investor, Supply Chain	 Metal smelting, refining & forming, Metallic mineral mining, Thermal power generation	Materials	Metals & mining
6	AAL	2017-12-31	2017	42207000000.0	-29452000000.0	4058000000.0	-8697000000.0	2017000000.0	6075000000.0	660.0	American Airlines Group Inc	 Investor, Supply Chain	 Air transport	Transportation services	Transport services
7	AAL	2018-12-31	2018	44541000000.0	-32651000000.0	2656000000.0	-9234000000.0	2159000000.0	4815000000.0	660.0	American Airlines Group Inc	 Investor, Supply Chain	 Air transport	Transportation services	Transport services
8	AAL	2019-12-31	2019	45768000000.0	-33397000000.0	3065000000.0	-9306000000.0	2318000000.0	5383000000.0	660.0	American Airlines Group Inc	 Investor, Supply Chain	 Air transport	Transportation services	Transport services
9	AAMC	2017-12-31	2017	18160000.0	-19393000.0	-7347000.0	-6114000.0	302000.0	-7045000.0						
10	AAMC	2018-12-31	2018	15926000.0	-17320000.0	-6608000.0	-5214000.0	436000.0	-6172000.0						
11	AAMC	2019-12-31	2019	15762000.0	-17029000.0	-9025000.0	-7758000.0	392000.0	-8633000.0						
12	AAN	2017-12-31	2017	3383708000.0	-1707565000.0	272693000.0	-1403450000.0	1531203000.0	1803896000.0						
13	AAN	2018-12-31	2018	3828923000.0	-1921903000.0	290713000.0	-1616307000.0	1822054000.0	2112767000.0						
14	AAN	2019-12-31	2019	3947656000.0	-2109611000.0	325125000.0	-1512920000.0	2077419000.0	2402544000.0						
15	AAOI	2017-12-31	2017	382329000.0	-216049000.0	86951000.0	-79329000.0	20381000.0	107332000.0						
16	AAOI	2018-12-31	2018	267465000.0	-179692000.0	-10768000.0	-98541000.0	29698000.0	18930000.0						
17	AAOI	2019-12-31	2019	190872000.0	-144671000.0	-48747000.0	-94948000.0	24014000.0	-24733000.0						
18	AAON	2017-12-31	2017	405232000.0	-281835000.0	74148000.0	-49249000.0	15007000.0	89155000.0						
19	AAON	2018-12-31	2018	433947000.0	-330414000.0	55778000.0	-47755000.0	17655000.0	73433000.0						
20	AAON	2019-12-31	2019	469333000.0	-349908000.0	67348000.0	-52077000.0	22766000.0	90114000.0						
21	AAP	2017-12-31	2017	9373784000.0	-5288735000.0	570212000.0	-3514837000.0	249260000.0	819472000.0						
22	AAP	2018-12-31	2018	9580554000.0	-5361141000.0	604275000.0	-3615138000.0	238184000.0	842459000.0						
23	AAP	2019-12-31	2019	9709003000.0	-5454257000.0	677180000.0	-3577566000.0	238371000.0	915551000.0						
24	AAPL	2017-09-30	2017	229234000000.0	-141048000000.0	61344000000.0	-26842000000.0	10157000000.0	71501000000.0	865.0	Apple Inc.	 Investor, Supply Chain	 Discretionary retail, Electrical & electronic equipment	Manufacturing	General
25	AAPL	2018-09-30	2018	265595000000.0	-163756000000.0	70898000000.0	-30941000000.0	10903000000.0	81801000000.0	865.0	Apple Inc.	 Investor, Supply Chain	 Discretionary retail, Electrical & electronic equipment	Manufacturing	General
26	AAPL	2019-09-30	2019	260174000000.0	-161782000000.0	63930000000.0	-34462000000.0	12547000000.0	76477000000.0	865.0	Apple Inc.	 Investor, Supply Chain	 Discretionary retail, Electrical & electronic equipment	Manufacturing	General
27	AAPL	2020-09-30	2020	274515000000.0	-169559000000.0	66288000000.0	-38668000000.0	11056000000.0	77344000000.0	865.0	Apple Inc.	 Investor, Supply Chain	 Discretionary retail, Electrical & electronic equipment	Manufacturing	General
28	AAWW	2017-12-31	2017	2156460000.0	-1062797000.0	613608000.0	-480055000.0	197463000.0	811071000.0						
29	AAWW	2018-12-31	2018	2677724000.0	-1362989000.0	735355000.0	-579380000.0	265553000.0	1000908000.0						
30	AAWW	2019-12-31	2019	2739189000.0	-1465339000.0	618021000.0	-655829000.0	316821000.0	934842000.0						
31	AAXN	2017-12-31	2017	343798000.0	-136710000.0	13023000.0	-194065000.0	8041000.0	21064000.0						
32	AAXN	2018-12-31	2018	420068000.0	-161485000.0	24841000.0	-233742000.0	10615000.0	35456000.0						
33	AAXN	2019-12-31	2019	530860000.0	-223574000.0	-6394000.0	-313680000.0	11361000.0	4967000.0						
36	ABAX	2018-03-31	2017	244700000.0	-111091000.0	38655000.0	-94954000.0	8006000.0	46661000.0						
37	ABBV	2017-12-31	2017	28216000000.0	-7040000000.0	9919000000.0	-11257000000.0	1501000000.0	11420000000.0	45103.0	AbbVie Inc	 Investor, Supply Chain	 Biotech & pharma	Biotech, health care & pharma	General
38	ABBV	2018-12-31	2018	32753000000.0	-7718000000.0	7307000000.0	-17728000000.0	1765000000.0	9072000000.0	45103.0	AbbVie Inc	 Investor, Supply Chain	 Biotech & pharma	Biotech, health care & pharma	General
39	ABBV	2019-12-31	2019	33266000000.0	-7439000000.0	12478000000.0	-13349000000.0	2017000000.0	14495000000.0	45103.0	AbbVie Inc	 Investor, Supply Chain	 Biotech & pharma	Biotech, health care & pharma	General
40	ABC	2017-09-30	2017	153143826000.0	-148597824000.0	2019669000.0	-2526333000.0	432331000.0	2452000000.0	710.0	AmerisourceBergen Corp.	 Investor, Supply Chain	 Trading, wholesale, distribution, rental & leasing	Retail	General
41	ABC	2018-09-30	2018	167939635000.0	-163327318000.0	1686889000.0	-2925428000.0	510109000.0	2196998000.0	710.0	AmerisourceBergen Corp.	 Investor, Supply Chain	 Trading, wholesale, distribution, rental & leasing	Retail	General
42	ABC	2019-09-30	2019	179589121000.0	-174450809000.0	2012397000.0	-3125915000.0	497512000.0	2509909000.0	710.0	AmerisourceBergen Corp.	 Investor, Supply Chain	 Trading, wholesale, distribution, rental & leasing	Retail	General
43	ABCD	2017-12-31	2017	158184000.0	-45534000.0	26112000.0	-86538000.0	20765000.0	46877000.0						
44	ABD	2017-12-31	2017	1948800000.0	-1292400000.0	214700000.0	-441700000.0	71200000.0	285900000.0						
45	ABD	2018-12-31	2018	1941200000.0	-1313400000.0	198700000.0	-429100000.0	70700000.0	269400000.0						
46	ABD	2019-12-31	2019	1955700000.0	-1322200000.0	208200000.0	-425300000.0	70300000.0	278500000.0						
47	ABG	2017-12-31	2017	6456500000.0	-5400600000.0	287700000.0	-768200000.0	32100000.0	319800000.0						
48	ABG	2018-12-31	2018	6874400000.0	-5771400000.0	310900000.0	-792100000.0	33700000.0	344600000.0						
49	ABG	2019-12-31	2019	7210300000.0	-6041400000.0	325000000.0	-843900000.0	36200000.0	361200000.0						
50	ABM	2017-10-31	2017	5453600000.0	-4881200000.0	83300000.0	-489100000.0	70100000.0	153400000.0	58.0	ABM INDUSTRIES INC	 Supply Chain	 Commercial & consumer services	Services	General
51	ABM	2018-10-31	2018	6442200000.0	-5747400000.0	165100000.0	-529700000.0	112500000.0	277600000.0	58.0	ABM INDUSTRIES INC	 Supply Chain	 Commercial & consumer services	Services	General
52	ABM	2019-10-31	2019	6498600000.0	-5767500000.0	208500000.0	-522600000.0	107400000.0	315900000.0	58.0	ABM INDUSTRIES INC	 Supply Chain	 Commercial & consumer services	Services	General
53	ABMC	2017-12-31	2017	4914000.0	-2917000.0	-311000.0	-2308000.0	80000.0	-231000.0						
54	ABMC	2018-12-31	2018	3872000.0	-2584000.0	-762000.0	-2050000.0	81000.0	-681000.0						
55	ABMC	2019-12-31	2019	3655000.0	-2471000.0	-593000.0	-1777000.0	81000.0	-512000.0						
56	ABMD	2018-03-31	2017	593749000.0	-98581000.0	157137000.0	-338031000.0	11005000.0	168142000.0						
57	ABMD	2019-03-31	2018	769432000.0	-129567000.0	224812000.0	-415053000.0	14121000.0	238933000.0						
58	ABMD	2020-03-31	2019	840883000.0	-151305000.0	249219000.0	-440359000.0	20430000.0	269649000.0						
59	ABT	2017-12-31	2017	27390000000.0	-12337000000.0	1726000000.0	-13327000000.0	3021000000.0	4747000000.0	64.0	Abbott Laboratories	 Investor, Supply Chain	 Biotech & pharma, Food & beverage processing, Health care provision, Medical equipment & supplies, Other services	Biotech, health care & pharma	General
60	ABT	2018-12-31	2018	30578000000.0	-12706000000.0	3650000000.0	-14222000000.0	3278000000.0	6928000000.0	64.0	Abbott Laboratories	 Investor, Supply Chain	 Biotech & pharma, Food & beverage processing, Health care provision, Medical equipment & supplies, Other services	Biotech, health care & pharma	General
61	ABT	2019-12-31	2019	31904000000.0	-13231000000.0	4532000000.0	-14141000000.0	3014000000.0	7546000000.0	64.0	Abbott Laboratories	 Investor, Supply Chain	 Biotech & pharma, Food & beverage processing, Health care provision, Medical equipment & supplies, Other services	Biotech, health care & pharma	General
62	ABTL	2017-12-31	2017	142125000.0	-99352000.0	11567000.0	-31206000.0	7653000.0	19220000.0						
63	ABTL	2018-12-31	2018	125589000.0	-110329000.0	-18133000.0	-33393000.0	8544000.0	-9589000.0						
